job_id,job_name,update_time,com_name,salary,workplace,job_exp,job_edu,job_rent,company_type,company_size,job_welfare,company_ind,job_info,job_type
1,急招C本纯司机面包车司机,2024-09-10 17:27:59,广州尚铭运输有限公司,7千-1.2万,广州,无需经验,初中及以下,,交通/运输/物流,少于50人,,,,
2,专职司机,2024-09-10 17:27:59,广州市勇嘉劳务派遣有限公司,7千-1.2万,广州,无需经验,初中及以下,,交通/运输/物流,少于50人,,,,
3,专职司机(A牌或B牌),2024-09-10 17:27:59,中国联和健康产业集团有限公司,7千-1.2万,广州,无需经验,初中及以下,,多元化业务集团公司,500-1000人,,,,
4,广州招帮公司开车司机公司配车,2024-09-10 17:27:59,佛山市优翔信息服务有限公司,7千-1.2万,广州,无需经验,初中及以下,,计算机软件,,,,,
5,公司仓库直招纯司机,2024-09-10 17:27:59,广州尚铭运输有限公司,7千-1.2万,广州,无需经验,初中及以下,,交通/运输/物流,少于50人,,,,
6,石井面包车司机,2024-09-10 17:27:59,广州捷锦运输物流有限公司,7千-1.2万,广州,无需经验,初中及以下,,交通/运输/物流,少于50人,,,,
7,物流司机,2024-09-10 17:27:59,广州市勇嘉劳务派遣有限公司,7千-1.2万,广州,无需经验,初中及以下,,交通/运输/物流,少于50人,,,,
8,公司内部司机工作轻松,2024-09-10 17:27:59,佛山市优翔信息服务有限公司,7千-1.2万,广州,无需经验,初中及以下,,计算机软件,,,,,
9,急招c照司机（保底一万）,2024-09-10 17:27:59,广州一马智慧科技有限公司,7千-1.2万,广州,无需经验,初中及以下,,,民营,,,,
10,专职小车司机福利好,2024-09-10 17:27:59,佛山市晨风咨询服务有限公司,7千-1.2万,广州,无需经验,初中及以下,,专业服务(咨询、人力资源、财会),,,,,
11,招公司接送司机有春节奖金,2024-09-10 17:27:59,佛山市智华飞讯科技有限公司,7千-1.2万,广州,无需经验,初中及以下,,计算机软件,,,,,
12,诚聘直营司机,2024-09-10 17:27:59,广州轩茂汽车服务有限公司,7千-1.2万,广州,无需经验,初中及以下,,,民营,,,,
13,广州市内招纯打工司机,2024-09-10 17:27:59,广州尚铭运输有限公司,7千-1.2万,广州,无需经验,初中及以下,,交通/运输/物流,少于50人,,,,
14,司机管理经理,2024-09-10 17:27:59,广州倬亿贸易有限公司,7千-1.2万,广州,无需经验,初中及以下,,贸易/进出口,1000-5000人,,,,
15,行政部小车接送司机,2024-09-10 17:27:59,佛山市智华飞讯科技有限公司,7千-1.2万,广州,无需经验,初中及以下,,计算机软件,,,,,
16,招c1长途司机月薪8000+,2024-09-10 17:27:59,贵州稳上亿新能源科技有限公司,7千-1.2万,广州,无需经验,初中及以下,,,民营,,,,
17,司机（白云区松洲街）,2024-09-10 17:27:59,广州市开物保安服务有限公司,7千-1.2万,广州,无需经验,初中及以下,,物业管理/商业中心,1000-5000人,,,,
18,周结小车司机,2024-09-10 17:27:59,佛山斑猫汽车销售服务有限公司,7千-1.2万,广州,无需经验,初中及以下,,交通/运输/物流,少于50人,,,,
19,专车接送商务司机8k,2024-09-10 17:27:59,佛山市智华飞讯科技有限公司,7千-1.2万,广州,无需经验,初中及以下,,计算机软件,,,,,
20,零食送货司机,2024-09-10 17:27:59,粤汇达（广州）物资配送有限公司,7千-1.2万,广州,无需经验,初中及以下,,交通/运输/物流,50-150人,,,,
21,零食送货司机,2024-09-09 11:38:02,粤汇达（广州）物资配送有限公司,6.5千-1万,广州·天河区,无需经验,,,交通/运输/物流,50-150人,,,,
22,专车接送商务司机8k,2024-09-09 11:38:02,佛山市智华飞讯科技有限公司,6.5千-1万,广州·天河区,无需经验,,,计算机软件,,,,,
23,物流司机,2024-09-09 11:38:02,广州市勇嘉劳务派遣有限公司,6.5千-1万,广州·天河区,无需经验,,,交通/运输/物流,少于50人,,,,
24,直招公司上班开车司机,2024-09-09 11:38:02,佛山市晨风咨询服务有限公司,6.5千-1万,广州·天河区,无需经验,,,专业服务(咨询、人力资源、财会),,,,,
25,C1司机,2024-09-09 11:38:02,贵州稳上亿新能源科技有限公司,6.5千-1万,广州·天河区,无需经验,,,,民营,,,,
26,白云钟落潭直招货运司机,2024-09-09 11:38:02,广州捷锦运输物流有限公司,6.5千-1万,广州·天河区,无需经验,,,交通/运输/物流,少于50人,,,,
27,全职/兼职司机,2024-09-09 11:38:02,明洋信息科技（广州）有限公司,6.5千-1万,广州·天河区,无需经验,,,计算机软件,,,,,
28,全广州招聘专线顺风车C本司机,2024-09-09 11:38:02,广州快马汽车科技有限公司,6.5千-1万,广州·天河区,无需经验,,,交通/运输/物流,50-150人,,,,
29,曹操、T3、滴滴、如祺、高德平台跑车司机,2024-09-09 11:38:02,广州轩茂汽车服务有限公司,6.5千-1万,广州·天河区,无需经验,,,,民营,,,,
30,花都狮岭直招货运司机,2024-09-09 11:38:02,广州捷锦运输物流有限公司,6.5千-1万,广州·天河区,无需经验,,,交通/运输/物流,少于50人,,,,
31,面包车司机,2024-09-09 11:38:02,广州志久物流有限公司,6.5千-1万,广州·天河区,无需经验,,,交通/运输/物流,,,,,
32,高薪诚聘开车司机,2024-09-09 11:38:02,广州快马汽车科技有限公司,6.5千-1万,广州·天河区,无需经验,,,交通/运输/物流,50-150人,,,,
33,省内日结司机,2024-09-09 11:38:02,广州市昌荣供应链管理有限公司,6.5千-1万,广州·天河区,无需经验,,,交通/运输/物流,少于50人,,,,
34,公司直招货运纯司机,2024-09-09 11:38:02,广东旗安科技有限公司,6.5千-1万,广州·天河区,无需经验,,,互联网/电子商务,,,,,
35,老板生活司机,2024-09-09 11:38:02,广东雪洁日化用品有限公司,6.5千-1万,广州·天河区,无需经验,,,快速消费品(食品、饮料、化妆品),150-500人,,,,
36,广州诚聘内部小车司机收入高,2024-09-09 11:38:02,佛山市优翔信息服务有限公司,6.5千-1万,广州·天河区,无需经验,,,计算机软件,,,,,
37,诚聘司机三年驾龄开车,2024-09-09 11:38:02,广州快马汽车科技有限公司,6.5千-1万,广州·天河区,无需经验,,,交通/运输/物流,50-150人,,,,
38,招聘小车司机 保底工资 有保障,2024-09-09 11:38:02,运力闪聘（徐州）企业管理有限公司,6.5千-1万,广州·天河区,无需经验,,,交通/运输/物流,少于50人,,,,
39,急招C1司机每周有补贴,2024-09-09 11:38:02,佛山市智华飞讯科技有限公司,6.5千-1万,广州·天河区,无需经验,,,计算机软件,,,,,
40,公司急招2名纯开小车司机2名双休,2024-09-09 11:38:02,佛山市优翔信息服务有限公司,6.5千-1万,广州·天河区,无需经验,,,计算机软件,,,,,
